============================================================================================&=============================================================================================
     Name      |  Actual  |   Pred   |   Diff   |    R2    |*|     Name      |  Actual  |   Pred   |   Diff   |    R2    |*|     Name      |  Actual  |   Pred   |   Diff   |    R2    |*|
============================================================================================&=============================================================================================
ptend_t_0      |   0.00004|   0.00006|  -0.00001|   1.00000|*|ptend_t_1      |   0.00002|   0.00003|  -0.00002|   1.00000|*|ptend_t_2      |   0.00005|   0.00009|  -0.00003|   1.00000|*|
ptend_t_3      |   0.00008|   0.00014|  -0.00006|   1.00000|*|ptend_t_4      |   0.00011|   0.00017|  -0.00007|   1.00000|*|ptend_t_5      |   0.00009|   0.00012|  -0.00003|   1.00000|*|
ptend_t_6      |   0.00004|   0.00005|  -0.00001|   1.00000|*|ptend_t_7      |   0.00003|   0.00004|  -0.00002|   1.00000|*|ptend_t_8      |   0.00002|   0.00003|  -0.00001|   1.00000|*|
ptend_t_9      |   0.00002|   0.00003|  -0.00000|   1.00000|*|ptend_t_10     |   0.00002|   0.00003|  -0.00000|   1.00000|*|ptend_t_11     |   0.00002|   0.00003|  -0.00000|   1.00000|*|
ptend_t_12     |   0.00002|   0.00003|  -0.00000|   1.00000|*|ptend_t_13     |   0.00002|   0.00002|  -0.00000|   1.00000|*|ptend_t_14     |   0.00002|   0.00002|  -0.00000|   1.00000|*|
ptend_t_15     |   0.00001|   0.00002|  -0.00000|   1.00000|*|ptend_t_16     |   0.00001|   0.00001|  -0.00000|   1.00000|*|ptend_t_17     |   0.00001|   0.00001|  -0.00000|   1.00000|*|
ptend_t_18     |   0.00000|   0.00001|  -0.00001|   1.00000|*|ptend_t_19     |   0.00000|   0.00001|  -0.00000|   1.00000|*|ptend_t_20     |   0.00000|   0.00001|  -0.00000|   1.00000|*|
ptend_t_21     |   0.00000|   0.00001|  -0.00000|   1.00000|*|ptend_t_22     |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_t_23     |   0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_t_24     |   0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_t_25     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_t_26     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|
ptend_t_27     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_t_28     |  -0.00000|   0.00000|  -0.00001|   1.00000|*|ptend_t_29     |  -0.00000|   0.00000|  -0.00001|   1.00000|*|
ptend_t_30     |  -0.00000|   0.00000|  -0.00000|   1.00000|*|ptend_t_31     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_t_32     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|
ptend_t_33     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_t_34     |  -0.00000|  -0.00000|  -0.00000|   1.00000|*|ptend_t_35     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_t_36     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_t_37     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_t_38     |  -0.00000|  -0.00000|   0.00000|   1.00000|*|
ptend_t_39     |   0.00000|  -0.00000|   0.00001|   1.00000|*|ptend_t_40     |   0.00000|  -0.00000|   0.00001|   1.00000|*|ptend_t_41     |   0.00001|  -0.00001|   0.00001|   1.00000|*|
ptend_t_42     |   0.00000|  -0.00001|   0.00001|   1.00000|*|ptend_t_43     |   0.00001|  -0.00001|   0.00001|   1.00000|*|ptend_t_44     |   0.00001|  -0.00001|   0.00001|   1.00000|*|
ptend_t_45     |   0.00001|  -0.00001|   0.00002|   1.00000|*|ptend_t_46     |   0.00001|  -0.00001|   0.00002|   1.00000|*|ptend_t_47     |   0.00000|  -0.00001|   0.00002|   1.00000|*|
ptend_t_48     |   0.00001|  -0.00001|   0.00002|   1.00000|*|ptend_t_49     |   0.00001|  -0.00001|   0.00002|   1.00000|*|ptend_t_50     |   0.00002|  -0.00001|   0.00003|   1.00000|*|
ptend_t_51     |   0.00003|  -0.00000|   0.00003|   1.00000|*|ptend_t_52     |   0.00004|   0.00000|   0.00004|   1.00000|*|ptend_t_53     |   0.00004|  -0.00001|   0.00005|   1.00000|*|
ptend_t_54     |   0.00004|   0.00002|   0.00002|   1.00000|*|ptend_t_55     |   0.00004|  -0.00000|   0.00005|   1.00000|*|ptend_t_56     |   0.00003|   0.00002|   0.00001|   1.00000|*|
ptend_t_57     |   0.00006|   0.00003|   0.00004|   1.00000|*|ptend_t_58     |   0.00001|  -0.00002|   0.00002|   1.00000|*|ptend_t_59     |  -0.00011|  -0.00011|  -0.00000|   1.00000|*|
ptend_q0001_0  |   0.00000|  -0.00000|   0.00000|   1.00000|*|ptend_q0001_1  |   0.00000|   0.00000|   0.00000|   1.00000|*|ptend_q0001_2  |   0.00000|  -0.00000|   0.00000|   1.00000|*|
